Product_Type,Country_Code,Country_Name,2014,2015,2016,2017,2018,Jan-Mar 18,Jan-Mar 19
Beef and veal exports,6021,Australia,1082676,1258200,767144,694929,673082,141342,144567
Beef and veal exports,1220,Canada,602157,628448,717777,741328,791974,175439,207722
Beef and veal exports,6141,New Zealand,597115,661687,612549,556965,572314,173663,121285
Beef and veal exports,2010,Mexico,310155,391937,493421,573564,508236,122870,141844
Beef and veal exports,3510,Brazil,81463,149580,152703,137906,140912,32345,34726
Beef and veal exports,2190,Nicaragua,138972,103834,111244,133341,156844,40441,46872
Beef and veal exports,3550,Uruguay,91859,136949,120704,120476,115017,23394,29691
Beef and veal exports,2230,Costa Rica,28859,27580,27505,24268,23652,6608,5595
Beef and veal exports,2150,Honduras,9033,3356,66,1987,5653,1524,1096
Beef and veal exports,4190,Ireland,,3108,5146,4350,3751,961,1956
Beef and veal exports,5880,Japan,1984,627,1013,1053,3063,2433,1970
Beef and veal exports,4210,Netherlands,,,364,2272,3333,808,952
Beef and veal exports,3370,Chile,594,1658,1778,667,56,,1
Beef and veal exports,3570,Argentina,1930,1290,,,103,,39
Beef and veal exports,4279,France,,,,99,340,17,103
Beef and veal exports,4510,Lithuania,,,140,49,60,11,15
Beef and veal exports,4231,Belgium,,,72,,105,,
Beef and veal exports,4550,Poland,,8,41,42,40,11,8
Beef and veal exports,4099,Denmark,,25,25,28,,,0
Beef and veal exports,4791,Croatia,21,15,18,6,17,9,6
Beef and veal exports,,Other countries,64,2,31,11,47,0,0
Beef and veal exports,,"Total
 ",2946883,3368305,3011740,2993338,2998599,721874,738451
Beef and veal exports,5880,Japan,663245,539575,655401,826004,880655,197332,194068
Beef and veal exports,5800,South Korea,301368,318968,459151,472729,638186,135765,147070
Beef and veal exports,2010,Mexico,434719,362721,394952,419349,448790,98291,110282
Beef and veal exports,5820,Hong Kong,416102,315821,293813,335705,307270,88416,48731
Beef and veal exports,1220,Canada,364021,323609,307855,309138,299880,70988,62066
Beef and veal exports,5830,China (Taiwan),104560,108789,136881,137808,185147,40429,41959
Beef and veal exports,4210,Netherlands,36462,38889,35450,38660,32650,6463,7595
Beef and veal exports,5650,Philippines,28064,32652,24569,30317,40979,9581,10970
Beef and veal exports,3370,Chile,27764,25391,26430,32784,28684,10081,5731
Beef and veal exports,5520,Vietnam,8640,12202,18607,30206,37117,6384,5394
Beef and veal exports,2470,Dominican Republic,19266,21337,17986,18508,18724,3893,5590
Beef and veal exports,5200,United Arab Emirates,14092,15404,17092,17017,16831,4437,4135
Beef and veal exports,4759,Italy,18934,17289,14599,15566,13126,2777,2389
Beef and veal exports,5600,Indonesia,7774,4673,17060,19125,22566,5809,6621
Beef and veal exports,2050,Guatemala,10713,10228,12984,15939,16488,4369,4114
Beef and veal exports,2360,Bahamas,9957,10181,10181,9340,9991,2491,2545
Beef and veal exports,5700,China (Mainland),8415,1681,1,9381,21994,4823,4991
Beef and veal exports,5130,Kuwait,8283,9388,7038,8205,8329,2667,1621
Beef and veal exports,4280,"Germany, Fed. Republic",10109,9080,6226,7649,8025,3110,1634
Beef and veal exports,5590,Singapore,4728,7240,5705,9726,9209,2191,2398
Beef and veal exports,,Other countries,76539,82168,94950,96532,110730,29849,26004
Beef and veal exports,,"Total
 ",2573754,2267287,2556932,2859688,3155370,730145,695908
Beef and veal exports,2010,Mexico,1115855,1154421,943043,1163641,1268687,307033,366595
Beef and veal exports,1220,Canada,1242512,829968,764971,642494,630771,160272,200490
Beef and veal exports,6021,Australia,,,,,1,,
Beef and veal exports,,Other countries,0,0,0,0,0,0,0
Beef and veal exports,,"Total
 ",2358367,1984389,1708014,1806135,1899459,467305,567085
Beef and veal exports,1220,Canada,49744,38588,36615,145347,195517,27174,49847
Beef and veal exports,2010,Mexico,27697,20271,28643,29719,21916,7773,7103
Beef and veal exports,4621,Russia,15257,3436,,1131,6866,,2628
Beef and veal exports,4890,Turkey,3503,5433,,5603,,,
Beef and veal exports,5180,Qatar,24,,,2876,8874,309,
Beef and veal exports,5520,Vietnam,,1553,25,5128,1850,,1625
Beef and veal exports,7321,Sudan,3801,1351,,1500,1800,1800,
Beef and veal exports,5110,Jordan,4160,,,,,,
Beef and veal exports,4634,Kazakhstan,1986,541,,,,,
Beef and veal exports,5490,Thailand,198,491,828,394,498,88,35
Beef and veal exports,2470,Dominican Republic,94,14,388,108,59,52,
Beef and veal exports,2250,Panama,241,70,55,113,140,114,
Beef and veal exports,4210,Netherlands,517,,10,,6,4,
Beef and veal exports,2720,Barbados,37,60,350,45,27,,
Beef and veal exports,3010,Colombia,,112,91,144,142,,51
Beef and veal exports,5350,Pakistan,,,273,,209,209,
Beef and veal exports,2150,Honduras,11,,377,33,55,,13
Beef and veal exports,5800,South Korea,84,40,,149,98,,
Beef and veal exports,5330,India,,,333,7,,,20
Beef and veal exports,3310,Ecuador,,242,,,,,
Beef and veal exports,,Other countries,330,357,772,744,643,110,386
Beef and veal exports,,"Total
 ",107684,72559,68760,193041,238700,37633,61708
Pork imports,1220,Canada,778388,854742,787857,724463,615563,173631,141550
Pork imports,4550,Poland,65567,80436,100756,166261,166528,44414,51621
Pork imports,4099,Denmark,78689,73382,67048,70990,81208,20873,17996
Pork imports,2010,Mexico,20680,24420,30949,36805,47475,11546,14031
Pork imports,4759,Italy,18468,22878,22746,23690,25509,5474,6239
Pork imports,4120,United Kingdom,7572,14694,18170,18601,24737,5537,5739
Pork imports,4700,Spain,9558,10271,15014,23293,23161,5254,6096
Pork imports,4210,Netherlands,11272,11944,18506,18671,15544,2814,3304
Pork imports,4190,Ireland,12614,14804,13888,10080,11728,3566,2752
Pork imports,3510,Brazil,82,463,7113,13899,19886,3042,6594
Pork imports,3370,Chile,3209,2645,4092,3290,4713,1186,1132
Pork imports,4280,"Germany, Fed. Republic",2227,2575,2810,3113,4235,1103,1141
Pork imports,4050,Finland,1849,1287,1034,1098,626,249,309
Pork imports,4370,Hungary,639,679,723,702,572,156,159
Pork imports,4279,France,141,133,142,200,206,62,17
Pork imports,4791,Croatia,112,173,169,88,141,31,23
Pork imports,4510,Lithuania,,,41,201,370,52,85
Pork imports,4330,Austria,,19,60,70,42,22,
Pork imports,6141,New Zealand,10,63,8,68,12,2,1
Pork imports,4231,Belgium,,,106,,,,
Pork imports,,Other countries,59,5,256,195,57,0,1
Pork imports,,"Total
 ",1011136,1115614,1091488,1115776,1042316,279015,258789
Pork exports,2010,Mexico,1372673,1553430,1610711,1808822,1767793,457081,387613
Pork exports,5880,Japan,1472330,1275416,1213184,1228956,1211771,314186,287698
Pork exports,1220,Canada,540069,527152,534930,530751,529511,124853,136738
Pork exports,5800,South Korea,384524,494114,406717,524939,726709,210553,175227
Pork exports,5700,China (Mainland),329465,251619,496396,380414,335490,113798,95680
Pork exports,6021,Australia,153274,176636,187071,207177,231048,61930,80658
Pork exports,3010,Colombia,132724,109530,119487,191599,282599,64891,79843
Pork exports,5820,Hong Kong,124279,126071,148018,144187,61314,21400,7712
Pork exports,5650,Philippines,95135,72043,76060,85917,96927,15627,22433
Pork exports,2470,Dominican Republic,47545,65731,74672,90582,122926,28159,30980
Pork exports,2150,Honduras,50230,63670,74576,79023,91055,21614,22173
Pork exports,3370,Chile,43329,40412,45998,73582,83569,13226,27094
Pork exports,2050,Guatemala,32466,38569,40707,42925,44529,10293,11516
Pork exports,2250,Panama,24050,31592,38458,35299,41858,5746,6506
Pork exports,5830,China (Taiwan),25865,37819,19225,30442,41491,5522,16274
Pork exports,4621,Russia,101565,,,,,,
Pork exports,6141,New Zealand,18678,17180,18137,19208,21658,4345,5893
Pork exports,2360,Bahamas,14908,14753,15969,16517,14651,3549,3305
Pork exports,5590,Singapore,26574,9764,10840,14499,10118,1793,2776
Pork exports,2110,El Salvador,10603,8424,12400,15751,21622,5753,5245
Pork exports,,Other countries,91376,95934,95103,111030,133553,31286,40172
Pork exports,,"Total
 ",5091665,5009861,5238658,5631621,5870192,1515604,1445536
Hog imports,1220,Canada,4947045,5740375,5656974,5596996,5253970,1358270,1338556
Hog imports,4279,France,,,,61,268,,
Hog imports,4710,Portugal,,,10,,260,,
